My Account,Mi Cuenta
Cart,Carrito
"Subscribe to the Indigo mailing list to receive updates on new arrivals, special offers and other discount information.",Suscríbete a nuesto newsletter para recibir nuestras ofertas y descuentos especiales.  
Suscribir,Inscríbete
Suscríbase a nuestras noticias,Ingresa tu mail
Login or Create an Account,Inicia Sesión o Crea una Cuenta
Mi Lista de Deseos,Mis Favoritos 
"If you have an account with us, please log in.",¿Ya tienes una cuenta? Inicia Sesión
Forgot Your Password?,¿Olvidaste tu contraseña?
Login,Inicia Sesión 
Log In,Inicia Sesión 
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en D-One Shop, podrás agilizar tu proceso de compra, guardar varias direcciones de envío, ver tu historial de compras, darle seguimiento a tus ordenes, entre otros beneficios. "
Sign Up for Newsletter,Inscríbete a nuesto Newsletter
Gender,Género
Thank you for registering with D-One Shop.,Gracias por registrarte en D-One Shop
"¡Bienvenido,","¡Bienvenid@,"
You are now logged out,Has cerrado sesión
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,"Desde el menú de Mi Cuenta, tendrás un panorama general de la actividad de tu cuenta y podrás modificar tu información. Selecciona cualquier opción del menú para editar la información que desees."
Actualmente estás suscrito a 'Suscripción General'.,Actualmente estás suscrito a 'Newsletter'.
Address Book,Direcciones de Envío
Default Shipping Address,Dirección de Envío
You have not set a default billing address.,No tienes ninguna dirección registrada
You have not set a default shipping address.,No tienes ninguna dirección registrada
Billing Agreements,Condiciones de Pago
Edit Account Information,Midifica la información de tu Cuenta
My Product Reviews,Reseñas de Productos
Newsletter Subscriptions,Suscripción
CATEGORIES,Categorias
MY CART,Mi carrito
You have no items in your shopping cart.,No tienes productos en tu carrito de compra
Contact Information,Información de Contacto
You have logged out and will be redirected to our homepage in 5 seconds.,Has cerrado sesión y serás dirigido a nuestra página principal en 5 segundos.
Ship To,Envío a
Last Ordered Items,Últimos productos pedidos
You have not tagged any products yet.,Usted no ha etiquetado ningun producto
Recently added item(s),Productos añadidos recientemente
Checkout,Pagar
Go to Shopping Cart,Ve al Carrito de Compra
Product Details and Comment,Detalles del producto y Comentarios
MY WISHLIST,Mis Favoritos 
Compare,Comparar
Details:,Detalles:
You're reviewing:,Estas viendo:
Sort By,Ordenar por
Grid view,Vista
List view,Vista
WAS ADDED TO YOUR SHOPPING CART.,SE AGREGO A TU CARRITO.
Cart Subtotal:,Subtotal del Carrito
Unit Price,Costo Unitario
Clear Shopping Cart,Vaciar carrito de compras
Fill in the fields below to complete your purchase!,Llena los campos para completar tu compra
Name & Address,Nombre y Dirección
Review Your Order,Detalles del pedido
Place Order Now,Comprar ahora
Already registered? Click here to login,¿Estás registrado? Inicia Sesión
Create an account for later use,Crea una cuenta para usarla después
What is PayPal?,¿Qué es Paypal?
THE SHOPPING CART IS CURRENTLY EMPTY,Tu corrito de compra se encuentra vacio.
"Thank you for visiting D-One Shop. If you are having issues with the shopping cart,  please email support.","Gracias por visitar D-One Shop. Si estas teniendo problemas con tu compra, ponte en contacto con nosotros."
CONTINUE SHOPPING,CONTINUA COMPRANDO
©Checkout provided by Interior Web Design,©Carrito de compra diseñado por D-One
Login to your Account,Inicia Sesión en tu Cuenta
Remember Me What's this?,Recuérdame ¿Cuál es?
